id,name,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,price_per_person
12937,"1 Stop fr. Manhattan! Private Suite,Landmark Block",Orestes,Queens,Long Island City,40.74771,-73.9474,Private room,130,3,248,2019-07-01 00:00:00,2.25,1,215,32.5
12940,Charming Brownstone 3 - Near PRATT,Adreinne,Brooklyn,Bedford-Stuyvesant,40.68111,-73.95591,Entire home/apt,110,7,61,2019-05-25 00:00:00,0.52,1,265,13.75
13050,bright and stylish duplex,Jennifer,Brooklyn,Bedford-Stuyvesant,40.68554,-73.9409,Entire home/apt,115,3,11,2017-01-01 00:00:00,0.1,1,0,28.75
13394,Fort Greene brownstone ,Alexander,Brooklyn,Fort Greene,40.69142,-73.97376,Private room,80,3,135,2019-06-17 00:00:00,1.16,2,192,20.0
13808,Blue Room for 2 in Brownstone for $1350 monthly,JT And Tiziana,Brooklyn,Bedford-Stuyvesant,40.68043,-73.93934,Private room,80,1,112,2019-06-16 00:00:00,1.01,3,251,40.0
14287,Cozy 1BD on Central Park West in New York City,Joya,Manhattan,Upper West Side,40.78635,-73.97008,Entire home/apt,151,2,73,2019-07-07 00:00:00,0.63,1,302,50.33
14290,* ORIGINAL BROOKLYN LOFT *,James,Brooklyn,Williamsburg,40.7042,-73.9356,Entire home/apt,228,3,82,2019-05-17 00:00:00,0.7,1,140,57.0
14314,Greenpoint Place...Has It All! ,Jeanne,Brooklyn,Greenpoint,40.73506,-73.95392,Entire home/apt,144,2,328,2019-06-29 00:00:00,2.82,1,234,48.0
14322,Beautiful Apartment in Manhattan!!!,Francesca,Manhattan,Kips Bay,40.73961,-73.98074,Entire home/apt,200,7,19,2019-03-25 00:00:00,0.22,1,257,25.0
14377,Williamsburg 1 bedroom Apartment,Joanna,Brooklyn,Williamsburg,40.70881,-73.9593,Entire home/apt,150,30,105,2019-06-22 00:00:00,0.9,1,30,4.84
14991,"Great Location, Manhattan Bedroom!",Bianca,Manhattan,Lower East Side,40.72004,-73.99104,Private room,110,5,19,2019-05-18 00:00:00,0.17,1,301,18.33
15220,Best Location in NYC! TIMES SQUARE!,Luiz,Manhattan,Hell's Kitchen,40.75531,-73.99293,Private room,69,2,289,2019-06-09 00:00:00,2.49,2,294,23.0
15338,Room in Greenpoint Loft w/ Roof,Andrea,Brooklyn,Greenpoint,40.72401,-73.93788,Private room,49,4,138,2019-06-04 00:00:00,1.19,3,320,9.8
15341,**Bright Nolita Apt w Doorman/Elevators/Gym**,Ted,Manhattan,SoHo,40.7221,-73.99775,Entire home/apt,180,30,21,2019-06-29 00:00:00,0.3,1,154,5.81
15385,"Very, very cozy place",Cristina,Brooklyn,Williamsburg,40.71185,-73.96204,Private room,80,2,42,2019-06-30 00:00:00,0.38,1,263,26.67
15711,2 bedroom - Upper East Side-great for kids,D,Manhattan,Upper East Side,40.77065,-73.95269,Entire home/apt,250,2,66,2019-03-30 00:00:00,0.57,2,231,83.33
16326,Comfortable 4-bedroom apt in family house.,Dimitri,Brooklyn,Prospect Heights,40.67811,-73.96428,Entire home/apt,200,30,143,2019-01-26 00:00:00,1.33,2,297,6.45
16338,Double Room w Private Deck Clinton Hill Best Area,Patricia,Brooklyn,Clinton Hill,40.69,-73.96788,Private room,55,7,27,2017-09-30 00:00:00,0.23,2,292,6.88
16421,Your Heaven in Hells Kitchen,Mark,Manhattan,Hell's Kitchen,40.75979,-73.99119,Private room,52,30,191,2019-05-16 00:00:00,1.65,1,191,1.68
16458,Light-filled 2B duplex in the heart of Park Slope!,Sara,Brooklyn,Park Slope,40.67343,-73.98338,Entire home/apt,225,3,4,2017-09-24 00:00:00,0.16,1,0,56.25
16580,"Sunny, Modern room in East Village!",Reka,Manhattan,East Village,40.72649,-73.97904,Private room,80,1,338,2019-07-01 00:00:00,4.72,2,72,40.0
16595,*HAVEN LOFT - Entire Floor - Six Windows - Bricks*,Daniel,Brooklyn,Williamsburg,40.70933,-73.96792,Entire home/apt,275,1,148,2019-06-23 00:00:00,1.4,1,362,137.5
16821,Large Room in Amazing East Village Apt,Casey,Manhattan,East Village,40.72298,-73.98474,Private room,99,1,106,2019-06-21 00:00:00,1.26,2,336,49.5
16974,SpaHa Loft: Enormous and Bright,Robin,Manhattan,East Harlem,40.80164,-73.93922,Entire home/apt,225,4,190,2019-06-23 00:00:00,1.64,1,215,45.0
17037,Lovely EV Artist's Home,Anna,Manhattan,East Village,40.72162,-73.98008,Entire home/apt,230,9,49,2018-05-14 00:00:00,0.43,1,116,23.0
17092,Cool Room in Hell's Kitchen,Enzo,Manhattan,Hell's Kitchen,40.76342,-73.98865,Private room,51,7,23,2019-06-01 00:00:00,0.43,1,88,6.38
17693,"HARLEM, NEW YORK WELCOMES YOU!!",Tye And Etienne,Manhattan,Washington Heights,40.83139,-73.94095,Private room,65,2,49,2019-06-18 00:00:00,1.6,2,336,21.67
17747,BLUE TRIM GUEST HOUSE,George,Brooklyn,Clinton Hill,40.68346,-73.96374,Private room,105,2,105,2019-06-26 00:00:00,0.92,1,304,35.0
18127,Charming East Village One Bedroom Flat,Josh,Manhattan,East Village,40.72828,-73.98801,Entire home/apt,190,5,21,2019-01-02 00:00:00,0.2,1,224,31.67
18152,Manhattan Room,Victoria,Manhattan,Upper East Side,40.76865,-73.95058,Private room,200,1,142,2019-07-06 00:00:00,1.5,1,322,100.0
18198,Little King of Queens,Justin,Queens,Woodside,40.75038,-73.90334,Private room,70,30,25,2019-05-31 00:00:00,0.22,1,324,2.26
18590,Fort Greene Retreat on the Park,Blaise,Brooklyn,Fort Greene,40.6932,-73.97267,Private room,95,3,143,2019-06-16 00:00:00,1.28,1,132,23.75
18728,Beautiful Meatpacking District Loft,DAVID And RICK,Manhattan,Chelsea,40.74138,-74.00197,Private room,150,3,167,2019-05-28 00:00:00,1.65,1,295,37.5
18764,Cozy 2 BR in Williamsburg ,Lulú,Brooklyn,Williamsburg,40.71154,-73.96112,Private room,145,3,61,2019-04-22 00:00:00,0.54,4,238,36.25
19159,Spacious luminous apt Upper West NYC,Sybilla,Manhattan,Harlem,40.82915,-73.95136,Entire home/apt,110,31,54,2019-03-23 00:00:00,0.49,1,209,3.44
19169,Entire 2 Bedroom - Large & Sunny,JoLynn,Manhattan,Lower East Side,40.71851,-73.98892,Entire home/apt,285,5,70,2019-06-30 00:00:00,0.62,1,328,47.5
19282,"Sunny, Spacious Top Floor Haven",Gaia,Brooklyn,Flatbush,40.65401,-73.96323,Entire home/apt,130,6,16,2019-06-15 00:00:00,0.15,1,38,18.57
19319,Private room Great Deal at Lower East Side,Ana,Manhattan,Lower East Side,40.7114,-73.98794,Private room,94,30,94,2019-04-08 00:00:00,0.84,1,188,3.03
19812,2 bedroom Williamsburg Apt - Bedford L stop,Starlee,Brooklyn,Williamsburg,40.71833,-73.95748,Entire home/apt,105,3,61,2018-08-09 00:00:00,0.53,1,272,26.25
20299,Oh glorious spring!,Edward,Manhattan,East Village,40.72334,-73.9844,Private room,60,3,194,2019-06-30 00:00:00,1.73,1,26,15.0
20300,Great Location for NYC,Pas,Manhattan,East Village,40.72912,-73.98057,Private room,50,1,2,2016-02-14 00:00:00,0.05,1,0,25.0
20611,Cozy Bedroom in Williamsburg 3 BR,Lulú,Brooklyn,Williamsburg,40.71156,-73.96218,Private room,85,3,174,2019-06-22 00:00:00,1.54,4,288,21.25
20724,Sunny room+Pvte office in huge loft,Augustin,Brooklyn,Bushwick,40.70032,-73.9383,Private room,65,4,24,2019-05-26 00:00:00,0.28,1,317,13.0
20734,Spacious Prospect Heights Apartment,Sean & Lynette,Brooklyn,Prospect Heights,40.68233,-73.97261,Entire home/apt,131,4,166,2019-06-27 00:00:00,3.4,1,207,26.2
20755,"Large Parlor Room, Landmark Home 1 block to PRATT",Erica,Brooklyn,Clinton Hill,40.68634,-73.966,Private room,98,7,16,2019-05-31 00:00:00,0.2,6,185,12.25
20853,2-bed brownstone duplex + garden,Tracy,Brooklyn,Prospect Heights,40.68035,-73.97162,Entire home/apt,250,7,21,2019-05-21 00:00:00,0.3,1,158,31.25
20913,Charming 1 bed GR8 WBurg LOCATION!,Christiana,Brooklyn,Williamsburg,40.70984,-73.95775,Entire home/apt,100,5,168,2018-07-22 00:00:00,1.57,1,0,16.67
21293,Sunny Apartment in Artist Home,Tyrome,Brooklyn,Bushwick,40.70093,-73.92609,Entire home/apt,105,3,118,2019-06-18 00:00:00,1.05,2,9,26.25
21456,Light-filled classic Central Park ,Dana,Manhattan,Upper West Side,40.79764,-73.96177,Entire home/apt,140,3,81,2019-07-07 00:00:00,0.71,1,198,35.0
21644,"Upper Manhattan, New York",Elliott,Manhattan,Harlem,40.82803,-73.94731,Private room,89,1,1,2018-10-09 00:00:00,0.11,1,365,44.5
21794,COZY QUIET room 4 DOOGLERS!,Olan,Manhattan,Chelsea,40.74008,-74.00271,Private room,98,30,30,2019-05-01 00:00:00,0.27,2,364,3.16
22911,The Stuydio Modern and Light Filled,Shelly,Brooklyn,Bedford-Stuyvesant,40.68413,-73.92357,Entire home/apt,125,7,139,2018-10-28 00:00:00,1.23,2,311,15.62
22918,loft bed - near transportation-15min to times sq,Ssameer Or Trip,Manhattan,Harlem,40.82279,-73.95139,Private room,60,3,11,2019-01-03 00:00:00,0.87,3,219,15.0
23135,House On Henry (3rd FLR Suite),Annette,Brooklyn,Carroll Gardens,40.67967,-74.00154,Entire home/apt,175,2,233,2019-06-24 00:00:00,2.09,3,342,58.33
23501,Monkey Retreat Manhattan,Meka,Manhattan,Washington Heights,40.83927,-73.94281,Private room,65,2,68,2012-11-01 00:00:00,0.6,1,312,21.67
24143,"Williamsburg—Steps To Subway, Private Bath&Balcony",Seth,Brooklyn,Williamsburg,40.71332,-73.94177,Private room,101,3,335,2019-05-29 00:00:00,3.02,1,152,25.25
24285,Beautiful Duplex Apartment,Brenda,Brooklyn,Park Slope,40.66941,-73.98109,Entire home/apt,220,30,88,2018-11-02 00:00:00,0.79,1,9,7.1
25235,Large 2 Bedroom Great for Groups!,Shelly,Brooklyn,Bedford-Stuyvesant,40.68373,-73.92377,Entire home/apt,125,90,162,2019-06-28 00:00:00,1.46,2,137,1.37
25406,"Modern Brooklyn Apt., August sublet",Erik,Brooklyn,Williamsburg,40.71459,-73.94844,Entire home/apt,80,30,29,2018-05-26 00:00:00,0.4,1,222,2.58
25696,"1,800 sq foot in luxury building",Dena,Manhattan,Harlem,40.8092,-73.94421,Private room,100,2,170,2019-06-23 00:00:00,1.61,1,346,33.33
26012,Sunny 2-story Brooklyn townhouse w deck and garden,Jessica,Brooklyn,Gowanus,40.68157,-73.98989,Entire home/apt,200,30,19,2017-03-17 00:00:00,0.2,1,208,6.45
26362,"Times Square, Safe, Clean and Cozy!",Luiz,Manhattan,Hell's Kitchen,40.75527,-73.99291,Private room,59,2,334,2019-06-16 00:00:00,3.0,2,279,19.67
26520,"Cozy Room #3, Landmark Home 1 Block to PRATT",Erica,Brooklyn,Clinton Hill,40.68698,-73.96572,Private room,125,2,19,2019-06-02 00:00:00,0.2,6,250,41.67
26559,Beautiful Apartment East Village,Sally,Manhattan,East Village,40.7288,-73.98192,Entire home/apt,140,7,12,2017-12-11 00:00:00,0.13,1,164,17.5
26785,Park Slope Green Guest House,Dani,Brooklyn,South Slope,40.66853,-73.98912,Entire home/apt,120,30,467,2018-12-30 00:00:00,4.22,2,192,3.87
26954,NYC fabulous views Manhattan's eye,Nimo,Manhattan,Kips Bay,40.74294,-73.98009,Entire home/apt,199,5,38,2015-12-02 00:00:00,0.38,1,260,33.17
26969,2 story family home in Williamsburg,Alexandra,Brooklyn,Williamsburg,40.71942,-73.95748,Entire home/apt,325,3,324,2019-06-23 00:00:00,3.01,1,107,81.25
27006,Comfortable UWS 2-BD Family-Friendly Brownstone,Stacy,Manhattan,Upper West Side,40.77823,-73.97637,Entire home/apt,235,6,27,2019-04-27 00:00:00,0.27,1,199,33.57
27385,Great Large 1 BR apt  in East Village!,Bruce,Manhattan,East Village,40.72555,-73.97965,Entire home/apt,225,1,115,2019-06-07 00:00:00,1.05,4,299,112.5
27531,Eveland Private Bed & Living Room w/ Own Entrance,Evelyn,Brooklyn,South Slope,40.66831,-73.98604,Private room,99,2,354,2019-05-20 00:00:00,3.2,3,20,33.0
27644,Sugar Hill Rest Stop ,Emma,Manhattan,Harlem,40.82754,-73.94919,Entire home/apt,170,2,195,2019-07-01 00:00:00,2.03,1,318,56.67
27759,apartment next to Central park,Sylvie,Manhattan,Upper West Side,40.77842,-73.97556,Entire home/apt,170,7,13,2019-06-26 00:00:00,0.12,1,224,21.25
27883,East Village Sanctuary,Jen,Manhattan,East Village,40.72245,-73.98527,Entire home/apt,100,4,25,2011-12-10 00:00:00,0.23,1,0,20.0
28321,Large 1  BR in a 3 BR Brooklyn apt. next to Q Trn.,Kay,Brooklyn,Prospect-Lefferts Gardens,40.65593,-73.96053,Private room,75,2,9,2018-10-05 00:00:00,0.08,1,324,25.0
28396,Modern Apt with Spectacular Views,Jo,Brooklyn,Williamsburg,40.71923,-73.96468,Private room,90,1,9,2011-09-18 00:00:00,0.08,1,245,45.0
28907,Garden studio in the Upper East Sid,Lisa,Manhattan,Upper East Side,40.778,-73.94822,Entire home/apt,150,5,21,2017-08-15 00:00:00,0.19,1,189,25.0
29012,Secluded Master Bedroom in Beautiful Huge Apt,Fernando And Lenin,Manhattan,Washington Heights,40.85879,-73.93128,Private room,85,15,36,2017-08-17 00:00:00,0.33,1,307,5.31
29013,B & B Room 1,Angela,Brooklyn,Bedford-Stuyvesant,40.68332,-73.9547,Private room,70,3,63,2019-05-14 00:00:00,0.58,2,310,17.5
29455,ACCOMMODATIONS GALORE #1,Laurine,Manhattan,Harlem,40.81618,-73.94894,Entire home/apt,120,3,155,2019-06-20 00:00:00,1.42,3,213,30.0
29628,Sunny Room in New Condo,Chris,Brooklyn,Clinton Hill,40.68414,-73.96351,Private room,89,3,260,2019-07-03 00:00:00,2.35,1,278,22.25
29683,Stylish & Sleek Apartment Near SoHo!,Uli,Manhattan,East Village,40.72392,-73.99143,Entire home/apt,185,5,73,2019-06-25 00:00:00,0.66,1,209,30.83
30031,NYC artists’ loft with roof deck,Sol,Brooklyn,Greenpoint,40.73494,-73.9503,Private room,50,3,193,2019-05-20 00:00:00,1.86,1,0,12.5
30927,Unique & Charming small 1br Apt. LES,Cs,Manhattan,Lower East Side,40.71341,-73.98856,Entire home/apt,105,3,32,2019-06-14 00:00:00,0.29,1,16,26.25
31130,Most Central Location!,Lara,Manhattan,Hell's Kitchen,40.76754,-73.98399,Private room,130,2,50,2019-05-26 00:00:00,0.45,3,234,43.33
31555,Luminous Beautiful West Village Studio,Tom,Manhattan,West Village,40.73442,-74.00303,Entire home/apt,115,29,26,2019-07-01 00:00:00,0.25,1,12,3.83
31902,Sanctuary in East Flatbush,Sunder,Brooklyn,Flatlands,40.63188,-73.93248,Private room,77,2,2,2019-01-01 00:00:00,0.02,1,178,25.67
31994,Room with En Suite Bathroom & Deck,Waldemar,Brooklyn,Clinton Hill,40.6873,-73.9634,Private room,76,2,426,2019-06-24 00:00:00,3.89,3,275,25.33
32023,FLAT MACDONOUGH,Khem,Brooklyn,Bedford-Stuyvesant,40.68296,-73.93662,Entire home/apt,125,3,227,2019-06-23 00:00:00,2.09,2,163,31.25
32037,Huge Private  Floor at The Waverly,Sahr,Brooklyn,Clinton Hill,40.6863,-73.96765,Private room,135,4,84,2019-07-01 00:00:00,0.77,3,365,27.0
32100,"Modern Greenpoint, Brooklyn Apt",Ali+Scott,Brooklyn,Greenpoint,40.73409,-73.95348,Entire home/apt,250,29,3,2017-07-30 00:00:00,0.03,1,34,8.33
32289,"Sun-drenched, artsy modernist 1 BDRM duplex",Elisabeth,Brooklyn,Williamsburg,40.71561,-73.94835,Entire home/apt,199,3,10,2018-06-11 00:00:00,0.1,1,280,49.75
32331,"Sunny, Cobble Hill Apartment",Sarah,Brooklyn,Cobble Hill,40.6857,-73.99183,Entire home/apt,140,2,4,2016-04-24 00:00:00,0.04,1,0,46.67
32363,Fully Furnished Basement Apartment,Fredah,Queens,Flushing,40.74028,-73.83168,Private room,140,2,1,2011-09-19 00:00:00,0.01,1,1,46.67
32965,FLAT MACDONOUGH GARDEN,Khem,Brooklyn,Bedford-Stuyvesant,40.68281,-73.93524,Entire home/apt,115,3,124,2019-06-20 00:00:00,1.72,2,170,28.75
32969,Light filled Williamsburg Apartment,Katherine,Brooklyn,Williamsburg,40.71596,-73.93938,Entire home/apt,160,3,11,2019-07-02 00:00:00,0.11,1,188,40.0
33009,Retreat in Williamsburg,Ming,Brooklyn,Williamsburg,40.71492,-73.95935,Entire home/apt,195,4,240,2019-06-17 00:00:00,2.19,1,214,39.0
33014,NYC Zen,Paula,Manhattan,East Village,40.72354,-73.98295,Entire home/apt,195,3,30,2019-06-17 00:00:00,0.28,1,248,48.75
33223,Cozy BR in Wiliamsburg 3 Bedroom,Lulú,Brooklyn,Williamsburg,40.71165,-73.96087,Private room,80,3,200,2019-06-22 00:00:00,1.86,4,262,20.0
34760,Sunny Room in Old Historical Brooklyn Townhouse,Obed,Brooklyn,Fort Greene,40.69101,-73.97312,Private room,44,8,27,2019-06-29 00:00:00,1.05,5,280,4.89
35526,Sun Filled Classic West Village Apt,Karen,Manhattan,West Village,40.73474,-74.00101,Private room,156,4,79,2019-06-22 00:00:00,0.74,1,307,31.2
36121,Lg Rm in Historic Prospect Heights,Michael,Brooklyn,Prospect Heights,40.67386,-73.96641,Private room,85,15,9,2013-05-10 00:00:00,0.09,1,339,5.31
36133,Classic Artist Loft Williamsburg,White,Brooklyn,Williamsburg,40.71536,-73.96057,Private room,125,3,155,2019-06-13 00:00:00,1.61,1,1,31.25
36442,Great location. Spacious on PROSPECT PARK,Paz,Brooklyn,Prospect Heights,40.6741,-73.96595,Entire home/apt,115,15,4,2018-08-27 00:00:00,0.05,1,269,7.19
36647,Private Bdrm/Bathrm. New! Elevator!,Irene,Manhattan,East Harlem,40.79295,-73.93997,Private room,69,2,34,2017-05-29 00:00:00,0.32,1,10,23.0
36703,"Sunny, clean 1 bdrm in W. Village",Karene,Manhattan,West Village,40.73226,-74.00401,Entire home/apt,225,45,134,2019-03-31 00:00:00,1.24,1,312,4.89
36934,Great location in Williamsburg,Viviana,Brooklyn,Williamsburg,40.71363,-73.96398,Entire home/apt,125,6,27,2018-12-27 00:00:00,0.25,1,189,17.86
38638,Light and Airy Upper East Side 1 BDR apartment,Sara,Manhattan,Upper East Side,40.77711,-73.9527,Entire home/apt,219,4,126,2019-06-26 00:00:00,1.16,2,290,43.8
39267,CENTRAL PARK LOFT all for YOU,Marie,Manhattan,Upper East Side,40.77456,-73.95323,Entire home/apt,99,1,234,2019-06-08 00:00:00,2.6,2,164,49.5
39282,Indie-Chic Share In Williamsburg,Gus,Brooklyn,Williamsburg,40.71088,-73.95055,Private room,69,4,202,2019-05-28 00:00:00,1.86,2,53,13.8
39593,"A room w/ a Manhattan view, longer stay",Myung,Queens,Sunnyside,40.74559,-73.92313,Private room,79,30,28,2019-04-12 00:00:00,0.26,1,126,2.55
39704,"Private, Large & Sunny 1BR w/W&D",Renée,Brooklyn,Bedford-Stuyvesant,40.68306,-73.94659,Entire home/apt,135,2,309,2019-06-22 00:00:00,2.86,2,3,45.0
40039,Luxurious Condo in DUBMO with View,Henry,Brooklyn,DUMBO,40.70207,-73.98571,Private room,250,3,14,2011-04-25 00:00:00,0.13,1,189,62.5
40453,Charming & Cozy midtown loft any WEEK ENDS  !!!,Sylvia,Manhattan,Upper East Side,40.76123,-73.9642,Entire home/apt,250,3,4,2016-09-23 00:00:00,0.08,1,365,62.5
